CBUSA Catalog
Report generated on 7/27/2017

CBUSA SKU,Product Name
13623,1/2 x 4' x 10' Regular Drywall
13624,1/2 x 4' x 12' Regular Drywall
13625,1/2 x 4' x 8' Regular Drywall
13626,"1/2 x 54"" x 12' Regular Drywall"
13627,1/4 x 4' x 8' Regular Drywall
13628,3/8 x 4' x 8' Regular Drywall
13629,1 x 2' x 10' Dens Ultra-Liner Shaftwall Panels
13630,1 x 2' x 12' Dens Ultra-Liner Shaftwall Panels
13631,1/2 x 4' x 12' Exterior Soffit Drywall (Brown Board)
13633,DryWall Tape - 250' Roll
13635,Ultra-Flex (100' Roll)
13780,10' x 150' Roll Tyvek HomeWrap
13782,"2"" x 165' Tyvek Housewrap Tape"
13785,5' x 200' Roll Tyvek Stucco Wrap 
13786,9' x 100' Roll Tyvek HouseWrap
13789,9' x 150' Roll Tyvek HomeWrap
13790,9' x 150' Roll Weather Barrier
13795,"14"" Galvanized Flashing"
13846,"1 1/4"" - Galvanized Hand Drive Nails (50 lb box)"
13874,Certainteed Premium Shingles - Landmark Series
13878,Certainteed Traditional Shingles - CT 20
13896,GAF Architectural Shingles - Timberline 30
13907,GAF Standard 3-Tab Shingles - Royal Sovereign
13933,Tamko Shingles - Glass-seal
13935,Tamko Shingles - Heritage 30 
13948,Certainteed Winterguard Ice & Water Shield - 3' x 32.5'
13956,15 lb Roofing Felt
13957,30 lb Roofing Felt
14120,"3.75"" x 90' Zip Tape System"
14121,"7/16"" x 4 x 8 OSB Zip Wall System"
14453,Simpson 2x10 Double Face Mount Hanger - HU210-2
14455,Simpson 2x10 Double Face Mount Hanger - LUS210-2
14466,Simpson 2x6 Double Face Mount Hanger - LUS26-2
14476,Simpson 2x10 Face Mount Hanger - LUS210
14482,Simpson 2x4 Face Mount Hanger - LUS24
14487,Simpson 2x6 Face Mount Hanger - LUS26
14502,Simpson Face Mount Hangers - HGUS 5.50/12
14521,Simpson Double Skewed 45 Hangers - SUL26-2
14524,Simpson Double Skewed 45 Hangers - SUR26-2
14532,Simpson Skewed 45 Hangers - SUL26
14538,Simpson Skewed 45 Hangers - SUR26
14577,"1 1/4"" Galvanized Roofing Nails (50lb)"
14581,16d CC Sinker Nails (50lb)
14585,8d Cut Nails - Hot Dipped Galvanized (50lb)
14586,8d Cut Nails - Hot Dipped Galvanized (5lb)
14594,1/2 Galvanized Flat Washer
14595,1/2 Galvanized Nut
14599,3/8 Galvanized Flat Washer
14600,3/8 Galvanized Nut
14602,5/8 Galvanized Flat Washer
14603,5/8 Galvanized Nut
14605,"5/8 x 6"" Galvanized Bolts"
14614,Simpson H2.5 Hurricane Tie
14642,1/2 x 4' x 12' Interior Ceiling Gypsum Board (Sag Resistant)
14676,3/8 x 12 - 16' Cedar Texture Smartside Vented Soffit
15230,Simpson 2 x 10 Joist Hanger Z-Max 
15236,"Simpson 1/2"" Plywood Clips"
15237,"Simpson 15/32"" Plywood Clips"
15239,"Simpson 5/8"" Plywood Clips"
15241,Simpson H2.5AZ Hurricane Tie Z-Max
15243,4 x 4 - 8' #1 Pressure Treated 
15256,"18"" x 150' York WascoSeal 20 Mil Vinyl Flashing"
15258,5/4 x 6 - 8' Prem Abv Grd Treated Pine
15259,5/4 x 6 - 10' Prem Abv Grd Treated Pine
15260,5/4 x 6 - 12' Prem Abv Grd Treated Pine
15261,5/4 x 6 - 14' Prem Abv Grd Treated Pine
15262,5/4 x 6 - 16' Prem Abv Grd Treated Pine
15309,9 x 150' Fortifiber Weathersmart Housewrap
15310,Fortifiber Moistop Sealant - 10.3 oz Tube
15363,Flat Jamb 4-9/16 Pine FJ
15487,1/2 x 4' x 8' OSB 
15823,6 Mil Poly - Ground Cover
15899,2 x 6 - 26' #2 SPF 
15900,2 x 6 - 28' #2 SPF 
16030,Speed Base  # 610 (5- 1/4) MDF
16031,Speed Base #810 (7 -1/4) MDF
16170,2 x 2 - 14' #2 SPF
16177,16d Hot Dipped Galvanized Nails (5lb)
16243,Owens Corning 3-Tab Shingle - Classic (Onyx Black)
16250,Owens Corning 3-Tab Shingle - Classic (Driftwood)
16382,Simpson Top Mount hanger - MIT3516
16371,"4"" x 150' Tyvek StraightFlash"
16370,"9"" x 75' Tyvek FlexWrap NF (Non Fastener)"
